                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21411,                0.99527,                      1,                0.55682,               0.000237,               0.000237,               0.000237
                      2,                0.00522,                0.99291,                      1,                0.55736,             0.00023988,             0.00023988,             0.00023988
